question_id, tag, link, tags, accepted_answer
2745265,polymorphism, https://stackoverflow.com/questions/2745265/is-listdog-a-subclass-of-listanimal-why-are-java-generics-not-implicitly-po, java;generics;inheritance;polymorphism,https://stackoverflow.com/questions/2745265/is-listdog-a-subclass-of-listanimal-why-are-java-generics-not-implicitly-po/2745301#2745301
6308178,polymorphism, https://stackoverflow.com/questions/6308178/what-is-the-main-difference-between-inheritance-and-polymorphism, java;oop;inheritance;polymorphism,https://stackoverflow.com/questions/6308178/what-is-the-main-difference-between-inheritance-and-polymorphism/6308235#6308235
9852831,polymorphism, https://stackoverflow.com/questions/9852831/polymorphism-why-use-list-list-new-arraylist-instead-of-arraylist-list-n, java;list;interface;polymorphism,https://stackoverflow.com/questions/9852831/polymorphism-why-use-list-list-new-arraylist-instead-of-arraylist-list-n/9853116#9853116
3255530,polymorphism, https://stackoverflow.com/questions/3255530/jump-into-interface-implementation-in-eclipse-ide, eclipse;interface;polymorphism,https://stackoverflow.com/questions/3255530/jump-into-interface-implementation-in-eclipse-ide/3255601#3255601
9810445,polymorphism, https://stackoverflow.com/questions/9810445/listmapstring-string-vs-list-extends-mapstring-string, java;generics;inheritance;polymorphism,https://stackoverflow.com/questions/9810445/listmapstring-string-vs-list-extends-mapstring-string/9810499#9810499
5854581,polymorphism, https://stackoverflow.com/questions/5854581/polymorphism-in-c, c++;polymorphism;c++-faq,https://stackoverflow.com/questions/5854581/polymorphism-in-c/5854862#5854862
5780584,polymorphism, https://stackoverflow.com/questions/5780584/will-gettype-return-the-most-derived-type-when-called-from-the-base-class, c#;inheritance;polymorphism,https://stackoverflow.com/questions/5780584/will-gettype-return-the-most-derived-type-when-called-from-the-base-class/5780613#5780613
12031878,polymorphism, https://stackoverflow.com/questions/12031878/what-is-the-purpose-of-rank2types, haskell;types;polymorphism;higher-rank-types,https://stackoverflow.com/questions/12031878/what-is-the-purpose-of-rank2types/12031900#12031900
20783266,polymorphism, https://stackoverflow.com/questions/20783266/what-is-the-difference-between-dynamic-and-static-polymorphism-in-java, java;oop;polymorphism;overloading;overriding,https://stackoverflow.com/questions/20783266/what-is-the-difference-between-dynamic-and-static-polymorphism-in-java/20783390#20783390
2790144,polymorphism, https://stackoverflow.com/questions/2790144/avoiding-instanceof-in-java, java;reflection;polymorphism;instanceof;chain-of-responsibility,https://stackoverflow.com/questions/2790144/avoiding-instanceof-in-java/2790215#2790215
27642239,polymorphism, https://stackoverflow.com/questions/27642239/what-is-polymorphism-in-javascript, javascript;oop;functional-programming;polymorphism;parametric-polymorphism,https://stackoverflow.com/questions/27642239/what-is-polymorphism-in-javascript/27642444#27642444
10880472,polymorphism, https://stackoverflow.com/questions/10880472/how-to-model-a-restful-api-with-inheritance, api;rest;inheritance;polymorphism,https://stackoverflow.com/questions/10880472/how-to-model-a-restful-api-with-inheritance/10883674#10883674
